"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"172","TLM025","COEI",1994-05-28,"TLM",1,76.6,48.9,NA,0,0,0,NA,"1994"
"173","TLM025","COEI",1994-05-28,"TLM",2,75.6,49.4,NA,0,0,0,NA,"1994"
"174","TLM025","COEI",1994-05-28,"TLM",3,75.8,48.9,NA,0,0,0,NA,"1994"
"175","TLM025","COEI",1994-05-28,"TLM",4,74.2,49.1,NA,0,0,0,NA,"1994"
"176","TLM025","COEI",1994-05-28,"TLM",5,72.1,48.6,NA,0,0,0,NA,"1994"
"177","TLM025","COEI",1994-05-28,"TLM",6,74.3,49.8,NA,0,0,0,NA,"1994"
"178","TLM027","COEI",1994-05-28,"TLM",1,82.5,51.2,NA,0,0,0,NA,"1994"
"179","TLM027","COEI",1994-05-28,"TLM",2,83.6,51.4,NA,0,0,0,NA,"1994"
"180","TLM027","COEI",1994-05-28,"TLM",3,80.8,50,NA,0,0,0,NA,"1994"
"181","TLM027","COEI",1994-05-28,"TLM",4,85.7,51.9,NA,0,0,0,NA,"1994"
"182","TLM027","COEI",1994-05-28,"TLM",5,58.9,41.6,NA,0,0,0,NA,"1994"
"183","ADS011","COEI",1994-05-28,"ADS",1,73,49.4,NA,0,0,0,NA,"1994"
"184","ADS011","COEI",1994-05-28,"ADS",2,79,49.9,NA,0,0,0,NA,"1994"
"185","ADS011","COEI",1994-05-28,"ADS",3,73,49.1,NA,0,0,0,NA,"1994"
"186","ADS011","COEI",1994-05-28,"ADS",4,71.7,50.2,NA,0,0,0,NA,"1994"
"187","ADS012","COEI",1994-05-28,"ADS",1,78.4,49,NA,0,0,0,NA,"1994"
"188","ADS012","COEI",1994-05-28,"ADS",2,71.1,49,NA,0,0,0,NA,"1994"
"189","ADS012","COEI",1994-05-28,"ADS",3,75.5,49.4,NA,0,0,0,NA,"1994"
"190","ADS012","COEI",1994-05-28,"ADS",4,79.9,49.4,NA,0,0,0,NA,"1994"
